1,2021-01-01,New Year's Day
2,2021-01-13,Lohri
3,2021-01-26,Republic Day
4,2021-03-11,Maha Shivaratri/Shivaratri
5,2021-03-29,Holi
6,2021-04-02,Good Friday
7,2021-04-21,Rama Navami
8,2021-04-25,Mahavir Jayanti
9,2021-05-14,Ramzan Id/Eid-ul-Fitar
10,2021-05-26,Buddha Purnima/Vesak
11,2021-07-21,Bakr Id/Eid ul-Adha
12,2021-08-15,Independence Day
13,2021-08-19,Muharram/Ashura
14,2021-08-30,Janmashtami
15,2021-10-02,Mahatma Gandhi Jayanti
16,2021-10-15,Dussehra
17,2021-10-19,Milad un-Nabi/Id-e-Milad
18,2021-11-04,Diwali/Deepavali
19,2021-11-19,Guru Nanak Jayanti
20,2021-12-25,Christmas
